market,name,code,scode
KOSDAQ,현대바이오랜드,KR7052260007,052260
KOSDAQ,현대바이오,KR7048410005,048410
KOSPI,현대백화점,KR7069960003,069960
KOSPI,현대비앤지스틸,KR7004560009,004560
KOSDAQ,현대사료,KR7016790008,016790
KOSPI,현대약품,KR7004310009,004310
KOSDAQ,현대에버다임,KR7041440009,041440
KOSDAQ,현대ADM,KR7187660006,187660
KOSDAQ,현대에이치티,KR7039010004,039010
KOSPI,현대엘리베이,KR7017800004,017800
KOSPI,현대오토에버,KR7307950006,307950
KOSPI,현대위아,KR7011210002,011210
KOSDAQ,현대이지웰,KR7090850009,090850
KOSPI,현대차우,KR7005381009,005385
KOSPI,현대차2우B,KR7005382007,005387
KOSPI,현대차3우B,KR7005383005,005389
KOSPI,현대차,KR7005380001,005380
KOSPI,현대제철,KR7004020004,004020
KOSPI,현대지에프홀딩스,KR7005440003,005440
KOSPI,현대차증권,KR7001500008,001500
KOSPI,현대코퍼레이션,KR7011760006,011760
KOSPI,현대코퍼레이션홀딩스,KR7227840006,227840
